Song Title,Artist,Status
200 Años,LaCuerda,Downloaded
8 de octubre,LaCuerda,Downloaded
A 18´ del sol,LaCuerda,Downloaded
A estos hombres tristes,LaCuerda,Downloaded
A mi dama,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""A starosta""""""""""""""","""""""""""""""el idiota""""""""""""""""""""""""""""""",LaCuerda
A su amor allí,LaCuerda,Downloaded
Abrazame inoscentemente,LaCuerda,Downloaded
Adentro Tuyo,LaCuerda,Downloaded
Agnus Dei,LaCuerda,Downloaded
Agua de la miseria,LaCuerda,Downloaded
Agua de Río,LaCuerda,Downloaded
Aguas claras de Olimpo,LaCuerda,Downloaded
Aguila de Trueno,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""Aguila de trueno""""""""""""""","""""""""""""""parte 2""""""""""""""""""""""""""""""",LaCuerda
Al ver verás,LaCuerda,Downloaded
Alas de la mañana,LaCuerda,Downloaded
Alcanfor,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""Alfin""""""""""""""","""""""""""""""ella no cambia nada""""""""""""""""""""""""""""""",LaCuerda
Alma de diamante,LaCuerda,Downloaded
Almendra,LaCuerda,Downloaded
Amor de Primavera,LaCuerda,Downloaded
Ana no duerme,LaCuerda,Downloaded
Apenas Floto,LaCuerda,Downloaded
Atado a tu frontera,LaCuerda,Downloaded
Bagualerita,LaCuerda,Downloaded
Bahía Final,LaCuerda,Downloaded
Blues de Cris,LaCuerda,Downloaded
Bolsodios,LaCuerda,Downloaded
Seminare,LaCuerda,Downloaded
Viernes 3 AM,LaCuerda,Downloaded
Eiti Leda,LaCuerda,Downloaded
Cinema Vérité,LaCuerda,Downloaded
Nos veremos otra vez,LaCuerda,Downloaded
Canción de Alicia en el país,LaCuerda,Downloaded
Peperina,LaCuerda,Downloaded
San Francisco y el Lobo,LaCuerda,Downloaded
La grasa de las capitales,LaCuerda,Downloaded
Salir de la melancolía,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""A cada hombre""""""""""""""","""""""""""""""a cada mujer""""""""""""""""""""""""""""""",LaCuerda
A los jóvenes de ayer,LaCuerda,Downloaded
Alto en la torre,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""Autos""""""""""""""",Jets,Aviones
Cancion de Hollywwod,LaCuerda,Downloaded
Cuanto tiempo mas llevará,LaCuerda,Downloaded
Déjame Entrar,LaCuerda,Downloaded
Desarma y sangra,LaCuerda,Downloaded
El mendigo en el anden,LaCuerda,Downloaded
El tiempo es veloz,LaCuerda,Downloaded
En la vereda del sol,LaCuerda,Downloaded
Encuentro con el diablo,LaCuerda,Downloaded
Ese trén,LaCuerda,Downloaded
Esperando nacer,LaCuerda,Downloaded
Frecuencia Modulada,LaCuerda,Downloaded
Hundiendo el Titanic,LaCuerda,Downloaded
Inconsciente Colectivo,LaCuerda,Downloaded
La canción de Hollywood,LaCuerda,Downloaded
Llorando en el espejo,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""Loco""""""""""""""","""""""""""""""no te sobra una moneda?""""""""""""""""""""""""""""""",LaCuerda
Los Dinosaurios,LaCuerda,Downloaded
Los Sobrevivientes,LaCuerda,Downloaded
Mientras miro las nuevas olas,LaCuerda,Downloaded
Muevéte al hablar,LaCuerda,Downloaded
Mundo agradable,LaCuerda,Downloaded
Música del alma,LaCuerda,Downloaded
No llores por mí Argentina,LaCuerda,Downloaded
No puedo dejar,LaCuerda,Downloaded
Noche de Perros,LaCuerda,Downloaded
Oh Dios que puedo hacer,LaCuerda,Downloaded
Sin Documentos,LaCuerda,Downloaded
la Milonga del Marinero y el Capitán,LaCuerda,Downloaded
Mi Enfermedad,LaCuerda,Downloaded
Todavía una canción de amor,LaCuerda,Downloaded
Para no olvidar,LaCuerda,Downloaded
Copa Rota,LaCuerda,Downloaded
Mucho mejor,LaCuerda,Downloaded
Dulce Condena,LaCuerda,Downloaded
Aquí no podemos hacerlo,LaCuerda,Downloaded
Diez Años Después,LaCuerda,Downloaded
A los Ojos,LaCuerda,Downloaded
Acto Simple,LaCuerda,Downloaded
"""""""""""""""""""""""""""""""Adiós amigos""""""""""""""","""""""""""""""adiós""""""""""""""""""""""""""""""",LaCuerda
Algún Lugar Encontraré,LaCuerda,Downloaded
Algunos hombres buenos,LaCuerda,Downloaded
Boogie de los piratas,LaCuerda,Downloaded
Buena Suerte,LaCuerda,Downloaded
Buena Suerte y Hasta Luego,LaCuerda,Downloaded
Canal 69,LaCuerda,Downloaded
Cien pájaros volando,LaCuerda,Downloaded
Cuando T has ido,LaCuerda,Downloaded
Demasiado Tarde,LaCuerda,Downloaded
Dispara,LaCuerda,Downloaded
El Profesional,LaCuerda,Downloaded
el Tiempo lo Dirá,LaCuerda,Downloaded
"""""""""""""""Ay bruja""""""",bruja,"""""""brujita"""""""""""""""
"""""""""""""""A starosta""""""","""""""el idiota""""""""""""""",LaCuerda
"""""""""""""""Aguila de trueno""""""","""""""parte 2""""""""""""""",LaCuerda
"""""""""""""""Alfin""""""","""""""ella no cambia nada""""""""""""""",LaCuerda
"""Ay bruja",bruja,"brujita"""
"""A starosta","el idiota""",LaCuerda
"""Aguila de trueno","parte 2""",LaCuerda
"""Alfin","ella no cambia nada""",LaCuerda
"""A cada hombre","a cada mujer""",LaCuerda
"""Autos",Jets,Aviones
"""Loco","no te sobra una moneda?""",LaCuerda
"""Adiós amigos","adiós""",LaCuerda
En el último trago,LaCuerda,Downloaded
En un hotel de 1000 estrellas,LaCuerda,Downloaded
Engánchate Conmigo,LaCuerda,Downloaded
Especies que desaparecen,LaCuerda,Downloaded
Extraño,LaCuerda,Downloaded
Hablando Solo,LaCuerda,Error: Exception: Chrome headless timed out: TimeoutException after 0:00:20.000000: Future not completed
Hace Calor,LaCuerda,Downloaded
Hasta que el sueño venga,LaCuerda,Downloaded
la mirada del adios,LaCuerda,Downloaded
La mujer de un amigo,LaCuerda,Downloaded
la Puerta de al lado,LaCuerda,Downloaded
Loco por tí,LaCuerda,Downloaded
Mala Suerte,LaCuerda,Downloaded
Me estás atrapando otra vez,LaCuerda,Downloaded
Mi Rock Perdido,LaCuerda,Downloaded
Tan solo,LaCuerda,Downloaded
Bicho de ciudad,LaCuerda,Downloaded
Vine hasta aqui,LaCuerda,Downloaded
Ando Ganas,LaCuerda,Downloaded
Canción de cuna,LaCuerda,Downloaded
Muy Despacito,LaCuerda,Downloaded
Ruleta,LaCuerda,Downloaded
El Farolito,LaCuerda,Downloaded
Civilización,LaCuerda,Downloaded
Pacífico,LaCuerda,Downloaded
A Veces,LaCuerda,Downloaded
A Ver Cuándo,LaCuerda,Downloaded
Agua,LaCuerda,Downloaded
Al Atardecer,LaCuerda,Downloaded
Al desierto,LaCuerda,Downloaded
Amor de Perros,LaCuerda,Downloaded
Ando Ganas (llora llora),LaCuerda,Downloaded
Angelito,LaCuerda,Downloaded
Arco,LaCuerda,Downloaded
Arco Ii,LaCuerda,Downloaded
Around & Around (zapatos de gamuza azul),LaCuerda,Downloaded
Ay ay ay,LaCuerda,Downloaded
Ay que maravilla,LaCuerda,Downloaded
Babilonia,LaCuerda,Downloaded
Basta de penas,LaCuerda,Downloaded
Blues del Traje Gris,LaCuerda,Downloaded
Buenos dias palomar,LaCuerda,Downloaded
Cancheros,LaCuerda,Downloaded
Chac tu chac,LaCuerda,Downloaded
Como Alí,LaCuerda,Downloaded
Cruces y flores,LaCuerda,Downloaded
Cruel,LaCuerda,Downloaded
Desde Lejos No Se Ve,LaCuerda,Downloaded
Dientes de cordero,LaCuerda,Downloaded
Difícil,LaCuerda,Downloaded
Don´t say tomorrow,LaCuerda,Downloaded
El Balneario de los Doctores Crotos,LaCuerda,Downloaded
El mendigo del doc sud,LaCuerda,Downloaded
El Viejo,LaCuerda,Downloaded
Entrando en tu ciudad,LaCuerda,Downloaded
A veces vuelvo,LaCuerda,Downloaded
Magia veneno,LaCuerda,Downloaded
Entero o a pedazos,LaCuerda,Downloaded
Plan B,LaCuerda,Downloaded
Anhelo de satisfacción,LaCuerda,Downloaded
Y lo que quiero es que pises,LaCuerda,Downloaded
Cuadros dentro de cuadros,LaCuerda,Downloaded
En los sueños,LaCuerda,Downloaded
Acaba el fín,LaCuerda,Downloaded
Apirié Omapare Piaroló,LaCuerda,Downloaded
Bata y bajo,LaCuerda,Downloaded
Batalla,LaCuerda,Downloaded
Calavera deforme,LaCuerda,Downloaded
Come together,LaCuerda,Downloaded
Confusión,LaCuerda,Error: Exception: Chrome headless timed out: TimeoutException after 0:00:20.000000: Future not completed
Cosas de goces,LaCuerda,Downloaded
Cuantos son,LaCuerda,Downloaded
Cuentos Decapitados,LaCuerda,Downloaded
Dale,LaCuerda,Downloaded
Dialecto,LaCuerda,Downloaded
El lugar,LaCuerda,Downloaded
El numero imperfecto,LaCuerda,Downloaded
El rostro (mi espejo),LaCuerda,Downloaded
El sueño,LaCuerda,Downloaded
Elevador,LaCuerda,Downloaded
Epico,LaCuerda,Downloaded
Es todo lo que tengo,LaCuerda,Downloaded
Eso Espero,LaCuerda,Downloaded
Eso Vive,LaCuerda,Downloaded
Foto en blanco y negro,LaCuerda,Downloaded
Grandes Esperanzas,LaCuerda,Downloaded
Gritale al viento,LaCuerda,Downloaded
Gritarle al Viento,LaCuerda,Downloaded
Hay casi un metro al agua,LaCuerda,Downloaded
Hechizo,LaCuerda,Downloaded
Hechizos,LaCuerda,Downloaded
Héroes Anónimos,LaCuerda,Downloaded
Hormigas,LaCuerda,Downloaded
Juego Sagrado,LaCuerda,Downloaded
Alfonsina y el Mar,LaCuerda,Downloaded
Balderrama,LaCuerda,Downloaded
Gracias a la vida,LaCuerda,Downloaded
Todo cambia,LaCuerda,Downloaded
Canción de las simples cosas,LaCuerda,Downloaded
Como la cigarra,LaCuerda,Downloaded
Zamba para olvidar,LaCuerda,Downloaded
Solo le pido a Dios,LaCuerda,Downloaded
El Cosechero,LaCuerda,Downloaded
Arenosa,LaCuerda,Downloaded
A Monteros,LaCuerda,Downloaded
A que florezca mi pueblo,LaCuerda,Downloaded
A quien doy,LaCuerda,Downloaded
Acércate Cholito,LaCuerda,Downloaded
Agitando pañuelos,LaCuerda,Downloaded
Al jardín de la republica,LaCuerda,Downloaded
"""Algarrobo","Algarrobal""",LaCuerda
Allá lejos y hace tiempo,LaCuerda,Downloaded
Años,LaCuerda,Downloaded
Arana,LaCuerda,Downloaded
Ay! este azul,LaCuerda,Downloaded
Aya Marcay Quilla,LaCuerda,Downloaded
Bajo el azote del sol,LaCuerda,Downloaded
Bajo este sauce solo,LaCuerda,Downloaded
Botecitos de papel,LaCuerda,Downloaded
Cambia,LaCuerda,Downloaded
Canción con todos,LaCuerda,Downloaded
Canción de amor para mi patria,LaCuerda,Downloaded
Canción de las cantinas,LaCuerda,Downloaded
Canciones y Momentos,LaCuerda,Downloaded
Canto a mi América,LaCuerda,Downloaded
Cantor de oficio,LaCuerda,Downloaded
Cantor del obraje,LaCuerda,Downloaded
Carito,LaCuerda,Downloaded
Caserón de tejas,LaCuerda,Downloaded
Celador de sueños,LaCuerda,Downloaded
Chacarera de un triste,LaCuerda,Downloaded
Chacarera del 55,LaCuerda,Downloaded
Cinco siglos igual,LaCuerda,Downloaded
Como dos extraños,LaCuerda,Downloaded
Artist Songs List,astor piazzolla,Not Found/Empty
Artist Songs List,canticuenticos,Not Found/Empty
Artist Songs List,pequeño pez,Not Found/Empty
Artist Songs List,los raviolis,Not Found/Empty
Artist Songs List,soda stereo,Not Found/Empty
Artist Songs List,patricio rey y sus redonditos de ricota,Not Found/Empty
Artist Songs List,sumo,Not Found/Empty
Artist Songs List,almendra,Not Found/Empty
Artist Songs List,pescado rabioso,Not Found/Empty
Artist Songs List,virus,Not Found/Empty
Artist Songs List,divididos,Not Found/Empty
Artist Songs List,rata blanca,Not Found/Empty
Artist Songs List,la bersuit,Not Found/Empty
Artist Songs List,los pericos,Not Found/Empty
Artist Songs List,ataque 77,Not Found/Empty
Artist Songs List,sui generis,Not Found/Empty
Artist Songs List,invisible,Not Found/Empty
Artist Songs List,mi amigo invencible,Not Found/Empty
Artist Songs List,manal,Not Found/Empty
Artist Songs List,los gatos,Not Found/Empty
"Algarrobo, Algarrobal",LaCuerda,Downloaded
Sálvame,LaCuerda,Downloaded
Obsesionario en La Mayor,LaCuerda,Downloaded
Danzaré,LaCuerda,Downloaded
Mi estrella blanca,LaCuerda,Downloaded
La noche sin tí,LaCuerda,Downloaded
La de la mala suerte,LaCuerda,Downloaded
La melodía de Dios,LaCuerda,Downloaded
Ojos Marrones,LaCuerda,Downloaded
Intento,LaCuerda,Downloaded
Quién como él,LaCuerda,Downloaded
Adios Nonino,LaCuerda,Downloaded
Balada para un loco,LaCuerda,Downloaded
Chiquilin de Bachin,LaCuerda,Downloaded
Cité Tango,LaCuerda,Downloaded
Fuga Y Misterio,LaCuerda,Downloaded
La Cumparsita,LaCuerda,Downloaded
Libertango,LaCuerda,Downloaded
Los pájaros perdidos,LaCuerda,Downloaded
Milonga del Angel,LaCuerda,Downloaded
Nightclub 1960,LaCuerda,Downloaded
El toque de su gloria,LaCuerda,Downloaded
Merecedor de alabanzas,LaCuerda,Downloaded
Mirenla,LaCuerda,Downloaded
Algo que decirte,LaCuerda,Downloaded
Bailecito del viento,LaCuerda,Downloaded
Bate con la cucharita,LaCuerda,Downloaded
Cachafaz,LaCuerda,Downloaded
Cumbia del monstruo,LaCuerda,Downloaded
El Mamboreta,LaCuerda,Downloaded
Hornero ¿qué ves?,LaCuerda,Downloaded
Luna Cansada,LaCuerda,Downloaded
Noni Noni,LaCuerda,Downloaded
Pañuelito Blanco,LaCuerda,Downloaded
Por tu forma de mirar,LaCuerda,Downloaded
Quiero para mí,LaCuerda,Downloaded
Santo Remedio,LaCuerda,Downloaded
Vaguito,LaCuerda,Downloaded
Viene para acá,LaCuerda,Downloaded
Ya va ya voy,LaCuerda,Downloaded
Zamba de los relojes,LaCuerda,Downloaded
Regalo de Dios,LaCuerda,Downloaded
Siento la unción,LaCuerda,Downloaded
Disfruto,LaCuerda,Downloaded
Reunidos en el nombre del Señor,LaCuerda,Downloaded
Chocolate,LaCuerda,Downloaded
Hoy no viene la niñera,LaCuerda,Downloaded
De Música Ligera,LaCuerda,Downloaded
Tratame Suavemente,LaCuerda,Downloaded
Té para 3,LaCuerda,Downloaded
Persiana Americana,LaCuerda,Downloaded
la Ciudad de la Furia,LaCuerda,Downloaded
Entre Caníbales,LaCuerda,Downloaded
Cuando pase el temblor,LaCuerda,Downloaded
Prófugos,LaCuerda,Downloaded
Signos,LaCuerda,Downloaded
un misil en mi placard,LaCuerda,Downloaded
1990,LaCuerda,Downloaded
Afrodisiacos,LaCuerda,Downloaded
Algun día,LaCuerda,Downloaded
Ameba,LaCuerda,Downloaded
Angel Eléctrico,LaCuerda,Downloaded
Cae el sol,LaCuerda,Downloaded
Camaleón,LaCuerda,Downloaded
Canción Animal,LaCuerda,Downloaded
Cibersirena,LaCuerda,Downloaded
Claroscuro,LaCuerda,Downloaded
Coral,LaCuerda,Downloaded
Corazón Delator,LaCuerda,Downloaded
Crema de Estrellas,LaCuerda,Downloaded
Cuando pase el temblor (unplugged),LaCuerda,Downloaded
Danza Rota,LaCuerda,Downloaded
Dietetico,LaCuerda,Downloaded
Disco Eterno,LaCuerda,Downloaded
Disco eterno (unplugged),LaCuerda,Downloaded
Doble vida,LaCuerda,Downloaded
Ecos,LaCuerda,Downloaded
Efecto Doppler,LaCuerda,Downloaded
El cuerpo del delito,LaCuerda,Downloaded
El ritmo de tus ojos,LaCuerda,Downloaded
el Rito,LaCuerda,Downloaded
El tiempo es dinero,LaCuerda,Downloaded
Ella uso mi cabeza como un revolver,LaCuerda,Downloaded
Ella usó mi cabeza con un revolver,LaCuerda,Downloaded
En Camino,LaCuerda,Downloaded
En el borde,LaCuerda,Downloaded
En el séptimo día,LaCuerda,Downloaded
Ji Ji Ji,LaCuerda,Downloaded
un angel para tu soledad,LaCuerda,Downloaded
Esa estrella era mi lujo,LaCuerda,Downloaded
un poco de amor francés,LaCuerda,Downloaded
Tarea Fina,LaCuerda,Downloaded
Etiqueta negra,LaCuerda,Downloaded
El pibe de los astilleros,LaCuerda,Downloaded
Mi genio amor,LaCuerda,Downloaded
Motorpsico,LaCuerda,Downloaded
Todo un palo,LaCuerda,Downloaded
Alien duce,LaCuerda,Downloaded
Aquella solitaria vaca cubana,LaCuerda,Downloaded
Bajo las palmeras,LaCuerda,Downloaded
Barba Azul vs. el amor letal,LaCuerda,Downloaded
Blues de la artillería,LaCuerda,Downloaded
Blues de la libertad,LaCuerda,Downloaded
Blues del Gallo Malo,LaCuerda,Downloaded
Blues del noticiero,LaCuerda,Downloaded
Botija Rapado,LaCuerda,Downloaded
Buenas Noticias,LaCuerda,Downloaded
Caña seca y un membrillo,LaCuerda,Downloaded
Canción para naufragio,LaCuerda,Downloaded
Cancion Para Naufragios.,LaCuerda,Downloaded
Capitán Buscapina,LaCuerda,Downloaded
Criminal Mambo,LaCuerda,Downloaded
Cruz Diablo,LaCuerda,Downloaded
Cua Cua Amen,LaCuerda,Downloaded
De esos polvos futuros lodos,LaCuerda,Downloaded
Divina TV Fuhrer,LaCuerda,Downloaded
Doctor Saturno,LaCuerda,Downloaded
Drogocop,LaCuerda,Downloaded
El árbol del gran bonete,LaCuerda,Downloaded
El arte del buen comer,LaCuerda,Downloaded
El gordo tramposo,LaCuerda,Downloaded
El Hidromedusa,LaCuerda,Downloaded
El hombre electrico,LaCuerda,Downloaded
El infierno esta encantador esta noche,LaCuerda,Downloaded
El lobo caído,LaCuerda,Downloaded
El Pogo Del Payaso Asesino,LaCuerda,Downloaded
El regreso de Mao,LaCuerda,Downloaded
Redemption Song,LaCuerda,Downloaded
Mañana en el abasto,LaCuerda,Downloaded
No tan distintos,LaCuerda,Downloaded
Estallando desde el océano,LaCuerda,Downloaded
Mejor no hablar de ciertas cosas,LaCuerda,Downloaded
Regtest,LaCuerda,Downloaded
El Ojo Blindado,LaCuerda,Downloaded
Telefonos sonando en habitaciones vacias,LaCuerda,Downloaded
Breaking Away,LaCuerda,Downloaded
Heroina,LaCuerda,Downloaded
Aquí vienen los blues jeans,LaCuerda,Downloaded
Banderitas y Globos,LaCuerda,Downloaded
Basura Blanca,LaCuerda,Downloaded
Beautiful Loser,LaCuerda,Downloaded
Billy,LaCuerda,Downloaded
Breacking away,LaCuerda,Downloaded
Brigthon Past,LaCuerda,Downloaded
Brilla tu luz para mi,LaCuerda,Downloaded
Cambalache,LaCuerda,Downloaded
Cinco Magnificos,LaCuerda,Downloaded
Crua Chan,LaCuerda,Downloaded
"Cuerdas, gargantas y cables",LaCuerda,Downloaded
Debede,LaCuerda,Downloaded
Déjame en paz,LaCuerda,Downloaded
Divididos por la felicidad,LaCuerda,Downloaded
Don't Cry,LaCuerda,Downloaded
El reggae de paz y amor,LaCuerda,Downloaded
Fiebre,LaCuerda,Downloaded
Fuck you,LaCuerda,Downloaded
Heroin,LaCuerda,Downloaded
Hola Frank,LaCuerda,Downloaded
Kaya,LaCuerda,Downloaded
La gota en el ojo,LaCuerda,Downloaded
La Rubia Tarada,LaCuerda,Downloaded
Lament,LaCuerda,Downloaded
Like London,LaCuerda,Downloaded
Lo quiero ya,LaCuerda,Downloaded
Los viejos vinagres,LaCuerda,Downloaded
Luces Rojas,LaCuerda,Downloaded
Muchacha ojos de papel,LaCuerda,Downloaded
Plegaria para un niño dormido,LaCuerda,Downloaded
Tema de Pototo,LaCuerda,Downloaded
Chocolate con almendras,LaCuerda,Downloaded
Fermin,LaCuerda,Downloaded
Que el viento borró tus manos,LaCuerda,Downloaded
Color Humano,LaCuerda,Downloaded
Figuración,LaCuerda,Downloaded
Laura Va,LaCuerda,Downloaded
A esos hombres tristes,LaCuerda,Downloaded
Aire de amor,LaCuerda,Downloaded
Amidama,LaCuerda,Downloaded
Amor de aire,LaCuerda,Downloaded
Aunque pudo ser,LaCuerda,Downloaded
"Buen día, día de sol",LaCuerda,Downloaded
Cambiándome el futuro,LaCuerda,Downloaded
Camino dificil,LaCuerda,Downloaded
Campos verdes,LaCuerda,Downloaded
Carmen,LaCuerda,Downloaded
Chocolates,LaCuerda,Downloaded
Cielo fuerte (amor guaraní),LaCuerda,Downloaded
Cometa Azul,LaCuerda,Downloaded
El mundo entre las manos,LaCuerda,Downloaded
En las cúpulas,LaCuerda,Downloaded
Final,LaCuerda,Downloaded
Florecen los nardos,LaCuerda,Downloaded
Hermano perro,LaCuerda,Downloaded
Hilando Fino,LaCuerda,Downloaded
Hombre de Luz,LaCuerda,Downloaded
Hoy todo el hielo en la ciudad,LaCuerda,Downloaded
Jaguar Herido,LaCuerda,Downloaded
Jingle,LaCuerda,Downloaded
Las cosas para hacer,LaCuerda,Downloaded
Leves Instrucciones,LaCuerda,Downloaded
Los Elefantes,LaCuerda,Downloaded
Mestizo,LaCuerda,Downloaded
"Miguelito, mi espíritu ha partido a tiempo7",LaCuerda,Downloaded
Mosca Muerta,LaCuerda,Downloaded
Cementerio Club,LaCuerda,Downloaded
Despiertate nena,LaCuerda,Downloaded
Post-crucifixión,LaCuerda,Downloaded
"A Starosta, el Idiota",LaCuerda,Downloaded
Superchería,LaCuerda,Downloaded
Algo flota en la laguna,LaCuerda,Downloaded
Amame Peteribi,LaCuerda,Downloaded
Como el viento voy a ver,LaCuerda,Downloaded
Corto,LaCuerda,Downloaded
Credulidad,LaCuerda,Downloaded
Cristálida,LaCuerda,Downloaded
Dulce 3 nocturno,LaCuerda,Downloaded
El jardinero (temprano amaneció),LaCuerda,Downloaded
Hola dulce viento,LaCuerda,Downloaded
Hola pequeño ser,LaCuerda,Downloaded
Iniciado del alba,LaCuerda,Downloaded
La cereza del zar,LaCuerda,Downloaded
La fiebre paranóica,LaCuerda,Downloaded
La sed verdadera,LaCuerda,Downloaded
Mañana o pasado,LaCuerda,Downloaded
Me gusta ese tajo,LaCuerda,Downloaded
Mi espíritu se fue,LaCuerda,Downloaded
Nena boba,LaCuerda,Downloaded
Petiribi,LaCuerda,Downloaded
Por,LaCuerda,Downloaded
Poseido del alba,LaCuerda,Downloaded
Rock de la selva madre,LaCuerda,Downloaded
Señorita Zapada,LaCuerda,Downloaded
Serpiente (viaja por la sal),LaCuerda,Downloaded
Sombras de la noche negra,LaCuerda,Downloaded
Viajero naciendo,LaCuerda,Downloaded
Pronta Entrega,LaCuerda,Downloaded
Luna de Miel en la mano,LaCuerda,Downloaded
Imágenes Paganas,LaCuerda,Downloaded
Amor Descartable,LaCuerda,Downloaded
Sin Disfraz,LaCuerda,Downloaded
Superficies de placer,LaCuerda,Downloaded
Tomo Lo Que Encuentro,LaCuerda,Downloaded
Cuando es con vos,LaCuerda,Downloaded
Dame una señal,LaCuerda,Downloaded
Wadu Wadu,LaCuerda,Downloaded
A Mil,LaCuerda,Downloaded
After Hours,LaCuerda,Downloaded
América Fatal,LaCuerda,Downloaded
Amor o acuerdo,LaCuerda,Downloaded
Amores perpetuos,LaCuerda,Downloaded
Atmósfera Pesada,LaCuerda,Downloaded
Ausencia,LaCuerda,Downloaded
Autocontrol,LaCuerda,Downloaded
Ay que mambo,LaCuerda,Downloaded
Bandas chantas arañan la nada,LaCuerda,Downloaded
Buenos Aires smog,LaCuerda,Downloaded
Caliente café,LaCuerda,Downloaded
Caricia azul o sino soledad carmesí,LaCuerda,Downloaded
Carolina,LaCuerda,Downloaded
Cave Canem,LaCuerda,Downloaded
Completo el stock,LaCuerda,Downloaded
Cuando yo desespere,LaCuerda,Downloaded
Danza de Bengalas,LaCuerda,Downloaded
Danza Narcotica,LaCuerda,Downloaded
Densa Realidad,LaCuerda,Downloaded
Desesperado secuencia uno,LaCuerda,Downloaded
Destino Circular,LaCuerda,Downloaded
Dicha feliz,LaCuerda,Downloaded
El 146,LaCuerda,Downloaded
El Banquete,LaCuerda,Downloaded
El corazón destrozado de Francisco,LaCuerda,Downloaded
El de moño negro,LaCuerda,Downloaded
El probador,LaCuerda,Downloaded
El rock es mi forma de ser,LaCuerda,Downloaded
Spaghetti del rock,LaCuerda,Downloaded
Guanuqueando,LaCuerda,Downloaded
Como un Cuento,LaCuerda,Downloaded
La flor azul,LaCuerda,Downloaded
Qué Ves,LaCuerda,Downloaded
El Arriero,LaCuerda,Downloaded
Ala Delta,LaCuerda,Downloaded
Par Mil,LaCuerda,Downloaded
10,LaCuerda,Downloaded
15-5,LaCuerda,Downloaded
Aburridos peligrosos,LaCuerda,Downloaded
Agua en Buenos Aires,LaCuerda,Downloaded
Aliados en un viaje,LaCuerda,Downloaded
Alma de Budín,LaCuerda,Downloaded
Amapola del ´66,LaCuerda,Downloaded
Amor japonés,LaCuerda,Downloaded
Andá a lavártelos,LaCuerda,Downloaded
Avanzando Retroceden,LaCuerda,Downloaded
Ay que dios boludo,LaCuerda,Downloaded
Azulejo,LaCuerda,Downloaded
Bafles en el mar,LaCuerda,Downloaded
Basta Fuerte,LaCuerda,Downloaded
Boyar Nocturno,LaCuerda,Downloaded
Brillo triste de un canchero,LaCuerda,Downloaded
Buscando un angel,LaCuerda,Downloaded
Cabeza de maceta,LaCuerda,Downloaded
Cabezon,LaCuerda,Downloaded
Cajita Musical,LaCuerda,Downloaded
Camarón Bombay,LaCuerda,Downloaded
Caminando,LaCuerda,Downloaded
